"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","Certigna <-- Certigna","",""
"intermediate_cert_badOCSP","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","0 seconds from localtime","",""
"HSTS","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","not offered","",""
"HPKP","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","Apache","",""
"banner_application","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","No application banner found","",""
"cookie_count","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","0 at '/'","",""
"security_headers","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","MEDIUM","--","",""
"banner_reverseproxy","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","--","","CWE-200"
"heartbleed","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","supported","","CWE-310"
"secure_client_renego","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
